As Of,NAV per Share
2016-11-30,48.42
2016-11-29,48.54
2016-11-28,48.53
2016-11-25,48.78
2016-11-23,48.62
2016-11-22,48.55
2016-11-21,48.54
2016-11-18,48.36
2016-11-17,48.40
2016-11-16,48.12
2016-11-15,47.95
2016-11-14,47.60
2016-11-11,47.74
2016-11-10,47.02
2016-11-09,47.31
2016-11-08,47.11
2016-11-07,46.99
2016-11-04,46.26
2016-11-03,46.20
2016-11-02,46.33
2016-11-01,46.68
2016-10-31,47.00
2016-10-28,47.01
2016-10-27,47.03
2016-10-26,47.32
2016-10-25,47.54
2016-10-24,47.63
2016-10-21,47.37
2016-10-20,47.38
2016-10-19,47.27
2016-10-18,47.30
2016-10-17,47.02
2016-10-14,47.08
2016-10-13,47.05
2016-10-12,47.20
2016-10-11,47.29
2016-10-10,47.83
2016-10-07,47.66
2016-10-06,47.81
2016-10-05,47.85
2016-10-04,47.68
2016-10-03,47.79
2016-09-30,48.00
